tags: active-korean 한국어학원

#[sound:~~~어요.mp3]	~~~어요<hr/>~~~세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">xxx다</div><div class="불규칙">(“?” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">***십니다</div>***습니다</div><div class="해요체"><div class="높임">~~~세요</div>~~~어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">+++셨습니다</div>+++었습니다</div><div class="해요체"><div class="높임">¤¤¤셨어요</div>¤¤¤었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">xxx실 겁니다</div>xxx 겁니다</div><div class="해요체"><div class="높임">xxx실 거예요</div>xxx 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">xxx시고</div>xxx고</div><div class="연결"><div class="높임">xxx시지만</div>xxx지만</div><div class="연결"><div class="높임">xxx시는데</div>xxx는데</div><div class="연결"><div class="높임">xxx시면</div>xxx면</div><div class="연결"><div class="높임">xxx셔서</div>xxx서</div></div></div>	il --------<p class="small">(해요체, registre informel poli)</p>

[sound:수고.mp3]	수고	(dur) travail, labeur
[sound:말라요.mp3]	<span class="불규칙">말라</span>요<hr/>마르세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">마르다</div><div class="불규칙">(“르” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">마르십니다</div>마릅니다</div><div class="해요체"><div class="높임">마르세요</div>말라요</div></div><div class="과거"><div class="하십시오체"><div class="높임">마르셨습니다</div>말랐습니다</div><div class="해요체"><div class="높임">마르셨어요</div>말랐어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">마르실 겁니다</div>마를 겁니다</div><div class="해요체"><div class="높임">마르실 거예요</div>마를 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">마르시고</div>마르고</div><div class="연결"><div class="높임">마르시지만</div>마르지만</div><div class="연결"><div class="높임">마르시는데</div>마르는데</div><div class="연결"><div class="높임">마르시면</div>마르면</div><div class="연결"><div class="높임">마르셔서</div>말라서</div></div></div>	il sèche<p class="small">(해요체, registre informel poli)</p>

[sound:지워요.mp3]	지<span class="불규칙">워</span>요<hr/>지우세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">지우다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">지우십니다</div>지웁니다</div><div class="해요체"><div class="높임">지우세요</div>지워요</div></div><div class="과거"><div class="하십시오체"><div class="높임">지우셨습니다</div>지웠습니다</div><div class="해요체"><div class="높임">지우셨어요</div>지웠어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">지우실 겁니다</div>지울 겁니다</div><div class="해요체"><div class="높임">지우실 거예요</div>지울 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">지우시고</div>지우고</div><div class="연결"><div class="높임">지우시지만</div>지우지만</div><div class="연결"><div class="높임">지우시는데</div>지우는데</div><div class="연결"><div class="높임">지우시면</div>지우면</div><div class="연결"><div class="높임">지우셔서</div>지워서</div></div></div>	il efface<p class="small">(해요체, registre informel poli)</p>

[sound:건너어요.mp3]	건너어요<hr/>건너세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">건너다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">건너십니다</div>건넙니다</div><div class="해요체"><div class="높임">건너세요</div>건너어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">건너셨습니다</div>건너었습니다</div><div class="해요체"><div class="높임">건너셨어요</div>건너었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">건너실 겁니다</div>건널 겁니다</div><div class="해요체"><div class="높임">건너실 거예요</div>건널 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">건너시고</div>건너고</div><div class="연결"><div class="높임">건너시지만</div>건너지만</div><div class="연결"><div class="높임">건너시는데</div>건너는데</div><div class="연결"><div class="높임">건너시면</div>건너면</div><div class="연결"><div class="높임">건너셔서</div>건너어서</div></div></div>	il traverse<p class="small">(해요체, registre informel poli)</p>

[sound:알려요.mp3]	알<span class="불규칙">려</span>요<hr/>알리세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">알리다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">알리십니다</div>알립니다</div><div class="해요체"><div class="높임">알리세요</div>알려요</div></div><div class="과거"><div class="하십시오체"><div class="높임">알리셨습니다</div>알렸습니다</div><div class="해요체"><div class="높임">알리셨어요</div>알렸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">알리실 겁니다</div>알릴 겁니다</div><div class="해요체"><div class="높임">알리실 거예요</div>알릴 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">알리시고</div>알리고</div><div class="연결"><div class="높임">알리시지만</div>알리지만</div><div class="연결"><div class="높임">알리시는데</div>알리는데</div><div class="연결"><div class="높임">알리시면</div>알리면</div><div class="연결"><div class="높임">알리셔서</div>알려서</div></div></div>	il informe, il annonce<p class="small">(해요체, registre informel poli)</p>

[sound:끊어요.mp3]	끊어요<hr/>끊으세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">끊다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">끊으십니다</div>끊습니다</div><div class="해요체"><div class="높임">끊으세요</div>끊어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">끊으셨습니다</div>끊었습니다</div><div class="해요체"><div class="높임">끊으셨어요</div>끊었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">끊으실 겁니다</div>끊을 겁니다</div><div class="해요체"><div class="높임">끊으실 거예요</div>끊을 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">끊으시고</div>끊고</div><div class="연결"><div class="높임">끊으시지만</div>끊지만</div><div class="연결"><div class="높임">끊으시는데</div>끊는데</div><div class="연결"><div class="높임">끊으시면</div>끊으면</div><div class="연결"><div class="높임">끊으셔서</div>끊어서</div></div></div>	il cesse, il interrompt, il raccroche<p class="small">(해요체, registre informel poli)</p>

[sound:남겨요.mp3]	남<span class="불규칙">겨</span>요<hr/>남기세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">남기다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">남기십니다</div>남깁니다</div><div class="해요체"><div class="높임">남기세요</div>남겨요</div></div><div class="과거"><div class="하십시오체"><div class="높임">남기셨습니다</div>남겼습니다</div><div class="해요체"><div class="높임">남기셨어요</div>남겼어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">남기실 겁니다</div>남길 겁니다</div><div class="해요체"><div class="높임">남기실 거예요</div>남길 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">남기시고</div>남기고</div><div class="연결"><div class="높임">남기시지만</div>남기지만</div><div class="연결"><div class="높임">남기시는데</div>남기는데</div><div class="연결"><div class="높임">남기시면</div>남기면</div><div class="연결"><div class="높임">남기셔서</div>남겨서</div></div></div>	il laisse<p class="small">(해요체, registre informel poli)</p>

